#gene_symbol	NM_ID
A2M	NM_000014.4
ANK3	NM_020987.3
ANKH	NM_054027.4
ANKK1	NM_178510.1
ANKLE1	NM_152363.4
ANKRD1	NM_014391.2
ANKRD11	NM_013275.4
ANKRD26	NM_014915.2
ANKS1A	NM_015245.2
ANO10	NM_018075.3
ANO3	NM_031418.2
ANO5	NM_213599.2
ANO6	NM_001025356.2
ANTXR1	NM_032208.2
ANTXR2	NM_058172.5
ANXA11	NM_001157.2
ANXA5	NM_001154.3
AOAH	NM_001637.3
AOX1	NM_001159.3
AP1S1	NM_001283.3
AP1S2	NM_003916.3
AP2S1	NM_004069.3
AP3B1	NM_003664.3
AP3B2	NM_004644.3
AP4B1	NM_006594.2
AP4E1	NM_007347.3
AP4M1	NM_004722.3
AP4S1	NM_007077.3
APAF1	NM_181861.1
APBA2	NM_005503.3
APBB3	NM_133173.2
APC	NM_000038.5
APCDD1	NM_153000.4
APEX1	NM_001641.2
APH1A	NM_001077628.1
APH1B	NM_031301.3
APLNR	NM_005161.4
APOA1	NM_000039.1
APOA2	NM_001643.1
APOA4	NM_000482.3
APOA5	NM_052968.4
APOB	NM_000384.2
APOBEC3G	NM_021822.3
APOBEC3H	NM_181773.3
APOC1	NM_001645.3
APOC2	NM_000483.4
APOC3	NM_000040.1
APOC4	NM_001646.2
APOD	NM_001647.3
APOE	NM_000041.2
APOH	NM_000042.2
APOL1	NM_003661.3
APOL3	NM_145640.2
APOM	NM_019101.2
APP	NM_000484.3
APRT	NM_000485.2
APTX	NM_175073.2
AQP1	NM_198098.2
AQP2	NM_000486.5
AQP3	NM_004925.4
AQP4	NM_001650.4
AQP5	NM_001651.2
AQP7	NM_001170.1
AR	NM_000044.2
ARF4	NM_001660.3
ARFGEF2	NM_006420.2
ARG1	NM_000045.2
ARHGAP24	NM_001025616.2
ARHGAP29	NM_004815.3
ARHGAP31	NM_020754.2
ARHGAP9	NM_032496.2
ARHGEF10	NM_014629.2
ARHGEF11	NM_014784.2
ARHGEF12	NM_015313.2
ARHGEF17	NM_014786.3
ARHGEF6	NM_004840.2
ARHGEF7	NM_001113511.1
ARHGEF9	NM_015185.2
arhgef9tv2	NM_001173479.1
ARID1A	NM_006015.4
ARID1B	NM_020732.3
ARIH1	NM_005744.3
ARL11	NM_138450.5
ARL13B	NM_182896.2
ARL6	NM_177976.1
ARL6IP5	NM_006407.3
ARMS2	NM_001099667.1
ARPC3	NM_001278556.1
ARSA	NM_000487.5
ARSB	NM_000046.3
ARSE	NM_000047.2
ARSF	NM_004042.4
ART4	NM_021071.2
ARVCF	NM_001670.2
ARX	NM_139058.2
AS3MT	NM_020682.3
ASAH1	NM_177924.3
ASAH2	NM_019893.2
ASB1	NM_001040445.1
ASB10	NM_001142459.1
asb10i3	NM_080871.3
ASCC1	NM_001198800.1
ASCC3	NM_006828.2
ascc3tv2	NM_022091.3
ASCL1	NM_004316.3
ASH1L	NM_018489.2
ASIP	NM_001672.2
ASL	NM_000048.3
ASMT	NM_004043.2
ASMTL	NM_004192.3
ASPA	NM_000049.2
ASPM	NM_018136.4
ASPRV1	NM_152792.2
ASS1	NM_000050.4
ASXL1	NM_015338.5
ASXL3	NM_030632.1
ATCAY	NM_033064.4
ATF1	NM_005171.4
ATF3	NM_001674.2
ATF5	NM_012068.5
ATF6	NM_007348.2
ATG16L1	NM_017974.3
ATG5	NM_004849.3
ATG7	NM_006395.2
ATIC	NM_004044.6
ATL1	NM_015915.4
ATM	NM_000051.3
ATOH7	NM_145178.2
ATP10D	NM_020453.3
ATP13A2	NM_022089.2
ATP13A4	NM_032279.2
ATP1A2	NM_000702.3
ATP1A3	NM_152296.3
ATP1B1	NM_001677.3
ATP2A1	NM_173201.3
ATP2A2	NM_001681.3
ATP2A3	NM_174953.1
ATP2B2	NM_001683.3
ATP2B3	NM_001001344.2
ATP2B4	NM_001001396.1
ATP2C1	NM_014382.3
ATP5E	NM_006886.2
ATP5SL	NM_018035.2
ATP6AP2	NM_005765.2
ATP6V0A1	NM_001130020.1
ATP6V0A2	NM_012463.3
ATP6V0A4	NM_020632.2
ATP6V1B1	NM_001692.3
ATP7A	NM_000052.4
ATP7B	NM_000053.2
ATP8B1	NM_005603.4
ATPAF2	NM_145691.3
ATR	NM_001184.3
ATRIP	NM_130384.1
ATRX	NM_000489.3
ATXN3L	NM_001135995.1
AUH	NM_001698.2
AURKA	NM_198433.1
AURKB	NM_004217.2
AURKC	NM_001015878.1
AVP	NM_000490.4
AVPR1A	NM_000706.4
AVPR1B	NM_000707.3
AVPR2	NM_000054.4
AXIN1	NM_003502.3
AXIN2	NM_004655.3
AXL	NM_021913.3
B2M	NM_004048.2
B3GALNT1	NM_003781.3
B3GALTL	NM_194318.3
B3GAT3	NM_012200.3
B3GNT3	NM_014256.3
B4GALT1	NM_001497.3
B4GALT7	NM_007255.2
B9D1	NM_015681.3
B9D2	NM_030578.3
BAALC	NM_024812.2
BAAT	NM_001701.3
BABAM1	NM_001033549.1
BACE1	NM_012104.4
BAG3	NM_004281.3
BAG6	NM_004639.3
BANF1	NM_001143985.1
BANK1	NM_017935.4
BAP1	NM_004656.2
BARD1	NM_000465.2
BAX	NM_138761.3
BBS1	NM_024649.4
BBS10	NM_024685.3
BBS12	NM_152618.2
BBS2	NM_031885.3
BBS4	NM_033028.3
BBS5	NM_152384.2
BBS7	NM_176824.2
BBS9	NM_198428.2
BCAM	NM_005581.3
BCHE	NM_000055.2
BCKDHA	NM_000709.3
BCKDHB	NM_183050.2
BCKDK	NM_005881.2
BCL10	NM_003921.4
BCL11A	NM_022893.3
BCL2	NM_000633.2
BCL2A1	NM_004049.3
BCL2L2	NM_004050.4
BCL9	NM_004326.3
BCL9L	NM_182557.2
BCMO1	NM_017429.2
BCOR	NM_017745.5
BCORL1	NM_021946.4
BCR	NM_004327.3
BCS1L	NM_004328.4
BDKRB2	NM_000623.3
BDNF	NM_170735.5
BEST1	NM_004183.3
BFSP2	NM_003571.2
BHLHE41	NM_030762.2
BHMT	NM_001713.2
BICC1	NM_001080512.1
BICD1	NM_001714.2
BIN1	NM_139343.1
BIRC5	NM_001168.2
BLK	NM_001715.2
BLM	NM_000057.2
BLMH	NM_000386.3
BLNK	NM_013314.3
BLOC1S3	NM_212550.3
BLOC1S6	NM_012388.2
BLVRA	NM_000712.3
BMI1	NM_005180.8
BMP1	NM_006129.4
BMP10	NM_014482.1
BMP15	NM_005448.2
BMP2	NM_001200.2
BMP2K	NM_198892.1
BMP4	NM_001202.3
BMP5	NM_021073.2
BMP7	NM_001719.2
BMPER	NM_133468.3
BMPR1A	NM_004329.2
BMPR1B	NM_001203.2
BMPR2	NM_001204.6
BNC2	NM_017637.5
BOLA3	NM_212552.2
BPGM	NM_199186.2
BPI	NM_001725.2
BPIFA1	NM_016583.3
BRAF	NM_004333.4
BRAP	NM_006768.4
BRAT1	NM_152743.3
BRCA1	NM_007294.3
BRCA2	NM_000059.3
BRD1	NM_014577.1
BRIP1	NM_032043.2
BRP44L	NM_016098.2
BRWD1	NM_018963.4
BRWD3	NM_153252.4
BSCL2	NM_032667.6
BSG	NM_198589.1
BSND	NM_057176.2
BST1	NM_004334.2
BTC	NM_001729.2
BTD	NM_000060.2
BTK	NM_000061.2
BTLA	NM_181780.3
BTN1A1	NM_001732.2
BTN2A1	NM_007049.4
BTNL2	NM_001304561.1
BUB1B	NM_001211.5
C10orf137	NM_015608.2
C10orf2	NM_021830.4
C11orf46	NM_152316.1
C11orf65	NM_152587.3
C11orf93	NM_001136105.2
C12orf10	NM_021640.3
C12orf57	NM_138425.2
C12orf62	NM_032901.2
C12orf65	NM_152269.4
C15orf62	NM_001130448.2
C16orf57	NM_024598.3
C16orf61	NM_020188.3
C17orf53	NM_024032.3
C18orf26	NM_173629.1
C19orf12	NM_001031726.2
C19orf48	NM_199249.1
C19orf80	NM_018687.6
C1orf227	NM_001024601.2
C1orf54	NM_024579.3
C1QA	NM_015991.2
C1QB	NM_000491.3
C1QC	NM_172369.3
C1QTNF5	NM_015645.3
C1R	NM_001733.4
C1S	NM_201442.2
C2	NM_000063.4
C20orf111	NM_016470.7
C20orf7	NM_024120.4
C21orf2	NM_004928.2
C21orf91	NM_001100420.1
C2CD3	NM_015531.4
C2orf42	NM_017880.1
C2orf56	NM_001083946.1
C2orf64	NM_001008215.1
C2orf71	NM_001029883.1
C3	NM_000064.2
C3AR1	NM_004054.2
C4A	NM_007293.2
C4B	NM_001002029.3
C4BPA	NM_000715.3
C4orf26	NM_178497.3
C5	NM_001735.2
C5orf42	NM_023073.3
c5orf42a	c5orf42altex.1
C6	NM_000065.2
C6orf105	NM_001143948.1
C6orf15	NM_014070.2
C6orf174	NM_001012279.2
C6orf204	NM_001042475.2
C6orf97	NM_025059.3
C7	NM_000587.2
C7orf10	NM_024728.2
C7orf11	NM_138701.3
C7orf43	NM_018275.3
C8A	NM_000562.2
C8B	NM_000066.2
C8orf37	NM_177965.3
C8orf38	NM_152416.2
C9	NM_001737.3
C9orf144B	NM_001141917.1
C9orf86	NM_024718.4
CA1	NM_001738.3
CA12	NM_001218.3
CA2	NM_000067.2
CA4	NM_000717.3
CA6	NM_001215.2
CA8	NM_004056.4
CABIN1	NM_012295.3
CABP2	NM_016366.2
CABP4	NM_145200.3
CACHD1	NM_020925.2
CACNA1A	NM_001127221.1
CACNA1C	NM_000719.6
cacna1ct23	NM_001167625.1
CACNA1D	NM_000720.2
CACNA1E	NM_000721.3
CACNA1F	NM_005183.2
CACNA1G	NM_018896.3
CACNA1H	NM_021098.2
CACNA1S	NM_000069.2
CACNA2D1	NM_000722.2
CACNA2D2	NM_006030.2
CACNA2D3	NM_018398.2
CACNA2D4	NM_172364.4
CACNB2	NM_201590.2
cacnb2i1	NM_000724.3
cacnb2i5	NM_201593.2
CACNB4	NM_000726.3
CACNG2	NM_006078.3
CADM1	NM_014333.3
CALCR	NM_001742.3
CALHM1	NM_001001412.3
CALM1	NM_006888.4
CALM3	NM_005184.2
CALR	NM_004343.3
CALR3	NM_145046.3
CAMK2G	NM_172171.2
CAMK4	NM_001744.4
CAMKK1	NM_032294.2
CAMKK2	NM_006549.3
CAMP	NM_004345.3
CANT1	NM_138793.3
CAPN10	NM_023083.3
CAPN13	NM_144575.2
CAPN3	NM_000070.2
CAPN5	NM_004055.4
CARD11	NM_032415.4
CARD14	NM_024110.3
CARD9	NM_052813.4
CARTPT	NM_004291.3
CASC5	NM_170589.3
CASK	NM_003688.3
CASP1	NM_033292.2
CASP10	NM_032977.3
CASP12	NM_001191016.1
CASP2	NM_032982.3
CASP3	NM_004346.3
CASP5	NM_004347.3
CASP8	NM_001228.4
CASP9	NM_001229.3
CASQ2	NM_001232.3
CASR	NM_000388.3
CAT	NM_001752.3
CATSPER1	NM_053054.3
catsper2t2	NM_172095.1
CATSPER3	NM_178019.2
CATSPER4	NM_198137.1
CAV1	NM_001753.4
CAV3	NM_033337.2
CBL	NM_005188.2
CBLB	NM_170662.3
CBR1	NM_001757.2
CBR3	NM_001236.3
CBS	NM_000071.2
CBX2	NM_005189.2
CBX4	NM_003655.2
CC2D2A	NM_001080522.2
CCBE1	NM_133459.3
CCDC103	NM_213607.1
CCDC11	NM_145020.3
CCDC114	NM_144577.3
CCDC14	NM_022757.4
CCDC144NL	NM_001004306.1
CCDC159	NM_001080503.2
CCDC18	NM_206886.3
CCDC22	NM_014008.4
CCDC28B	NM_024296.4
CCDC39	NM_181426.1
CCDC40	NM_017950.2
CCDC42	NM_144681.2
CCDC50	NM_178335.2
CCDC8	NM_032040.3
CCDC88C	NM_001080414.3
CCDC90B	NM_021825.3
CCHCR1	NM_001105564.1
CCK	NM_000729.4
CCKAR	NM_000730.2
CCKBR	NM_176875.2
CCL11	NM_002986.2
CCL13	NM_005408.2
CCL17	NM_002987.2
CCL2	NM_002982.3
CCL22	NM_002990.4
CCL26	NM_006072.4
CCL5	NM_002985.2
CCL7	NM_006273.3
CCM2	NM_031443.3
CCNA2	NM_001237.3
CCND1	NM_053056.2
CCR2	NM_001123041.2
CCR3	NM_001837.3
CCR5	NM_000579.3
CCR7	NM_001838.3
CCRL2	NM_003965.4
CCS	NM_005125.1
CCT5	NM_012073.3
CD109	NM_133493.3
CD14	NM_000591.3
CD151	NM_004357.4
CD177	NM_020406.2
CD19	NM_001770.5
CD1A	NM_001763.2
CD1E	NM_030893.3
CD2	NM_001767.3
CD207	NM_015717.3
CD209	NM_021155.3
CD22	NM_001771.3
CD226	NM_006566.2
CD24	NM_013230.2
CD247	NM_198053.2
CD27	NM_001242.4
CD2AP	NM_012120.2
CD300LG	NM_145273.3
CD320	NM_016579.3
CD33	NM_001772.3
CD36	NM_001001547.2
CD38	NM_001775.2
CD3D	NM_000732.4
CD3E	NM_000733.3
CD3EAP	NM_012099.1
CD3G	NM_000073.2
CD4	NM_000616.4
CD40	NM_001250.4
CD40LG	NM_000074.2
CD44	NM_000610.3
CD46	NM_002389.4
CD55	NM_000574.3
CD58	NM_001779.2
CD59	NM_203330.2
CD79A	NM_001783.3
CD79B	NM_000626.2
CD81	NM_004356.3
CD86	NM_006889.4
CD8A	NM_001768.6
CD96	NM_198196.2
CDA	NM_001785.2
CDAN1	NM_138477.2
CDC42BPB	NM_006035.3
CDC6	NM_001254.3
CDC73	NM_024529.4
CDCA7L	NM_018719.4
CDH1	NM_004360.3
CDH12	NM_004061.3
CDH13	NM_001257.4
CDH15	NM_004933.2
CDH23	NM_022124.5
CDH3	NM_001793.4
CDH4	NM_001794.4
CDH5	NM_001795.3
CDHR1	NM_033100.2
CDK11A	NM_024011.2
CDK4	NM_000075.2
CDK5R1	NM_003885.2
CDK5RAP2	NM_018249.4
CDK5RAP3	NM_176096.2
CDK7	NM_001799.3
CDKL5	NM_003159.2
CDKN1A	NM_078467.2
CDKN1B	NM_004064.3
CDKN1C	NM_000076.2
CDKN2A	NM_000077.4
cdkn2ai3	NM_058197.4
CDKN2B	NM_004936.3
CDKN2C	NM_001262.2
CDON	NM_016952.4
CDSN	NM_001264.4
CDT1	NM_030928.3
CDX1	NM_001804.2
CDX2	NM_001265.3
CEACAM16	NM_001039213.2
CEBPA	NM_004364.3
CEBPE	NM_001805.2
CECR1	NM_017424.2
CEL	NM_001807.3
CELSR1	NM_014246.1
CENPJ	NM_018451.3
CEP135	NM_025009.3
CEP152	NM_014985.3
CEP164	NM_014956.4
CEP290	NM_025114.3
CEP41	NM_018718.1
CEP57	NM_014679.3
CEP63	NM_025180.3
CEP68	NM_015147.2
CER1	NM_005454.2
CERKL	NM_201548.4
CES1	NM_001025194.1
CES2	NM_003869.5
CETP	NM_000078.2
CFAP53	NM_145020.3
CFB	NM_001710.5
CFC1	NM_032545.2
CFD	NM_001928.2
CFH	NM_000186.3
CFHR1	NM_002113.2
CFHR3	NM_021023.5
CFHR5	NM_030787.3
CFI	NM_000204.3
CFL2	NM_021914.7
CFLAR	NM_003879.5
CFP	NM_002621.2
CFTR	NM_000492.3
CGA	NM_000735.3
CGB	NM_000737.2
CHAMP1	NM_001164144.1
CHAT	NM_020549.4
CHD1	NM_001270.2
CHD1L	NM_004284.3
CHD2	NM_001271.3
CHD3	NM_001005271.2
CHD7	NM_017780.3
CHD8	NM_001170629.1
CHDH	NM_018397.4
CHEK2	NM_007194.3
CHFR	NM_018223.2
CHGA	NM_001275.3
CHGB	NM_001819.2
CHI3L1	NM_001276.2
CHI3L2	NM_004000.2
CHIA	NM_201653.2
CHIT1	NM_003465.2
CHKB	NM_005198.4
CHL1	NM_006614.2
CHM	NM_000390.2
CHMP1A	NM_002768.2
CHMP2B	NM_014043.3
CHMP4B	NM_176812.4
CHN1	NM_001822.5
CHRDL1	NM_001143981.1
CHRFAM7A	NM_139320.1
CHRM1	NM_000738.2
CHRM2	NM_000739.2
CHRM3	NM_000740.2
CHRNA1	NM_000079.3
CHRNA2	NM_000742.3
CHRNA3	NM_000743.4
CHRNA4	NM_000744.5
CHRNA5	NM_000745.3
CHRNA7	NM_000746.4
CHRNA9	NM_017581.2
CHRNB1	NM_000747.2
CHRNB2	NM_000748.2
CHRNB4	NM_000750.3
CHRND	NM_000751.1
CHRNE	NM_000080.3
CHRNG	NM_005199.4
CHST14	NM_130468.3
CHST3	NM_004273.4
CHST6	NM_021615.4
CHST8	NM_001127896.1
CHSY1	NM_014918.4
CHUK	NM_001278.3
CIAO1	NM_004804.2
CIB2	NM_006383.2
CIC	NM_015125.3
CIDEA	NM_001279.3
CIDEC	NM_022094.3
CIITA	NM_000246.3
CILP	NM_003613.3
CIRH1A	NM_032830.2
CISD2	NM_001008388.4
CISH	NM_013324.5
CITED2	NM_006079.3
CIZ1	NM_012127.2
CKB	NM_001823.3
CKM	NM_001824.3
CLCA1	NM_001285.3
CLCA2	NM_006536.5
CLCF1	NM_013246.2
CLCN1	NM_000083.2
CLCN2	NM_004366.4
CLCN5	NM_000084.2
CLCN7	NM_001287.4
CLCNKA	NM_004070.3
CLCNKB	NM_000085.3
CLDN1	NM_021101.4
CLDN14	NM_144492.2
CLDN16	NM_006580.3
CLDN19	NM_148960.2
CLEC11A	NM_002975.2
CLEC2D	NM_013269.5
CLEC4M	NM_014257.4
CLEC7A	NM_197947.2
CLIC2	NM_001289.4
CLMP	NM_024769.2
CLN3	NM_001042432.1
CLN5	NM_006493.2
CLN6	NM_017882.2
CLN8	NM_018941.3
CLOCK	NM_004898.3
CLPS	NM_001832.2
CLRN1	NM_174878.2
CLSTN2	NM_022131.2
CLTCL1	NM_007098.3
CLU	NM_001831.2
CLYBL	NM_206808.2
CMA1	NM_001836.3
CMC2	NM_020188.3
CMPK1	NM_001136140.1
CNDP1	NM_032649.5
CNGA1	NM_000087.3
CNGA3	NM_001298.2
CNGB1	NM_001297.4
CNGB3	NM_019098.4
CNKSR1	NM_006314.2
CNNM2	NM_017649.3
CNNM4	NM_020184.3
CNOT3	NM_014516.3
CNOT4	NM_001190850.1
CNPY3	NM_006586.3
CNR1	NM_016083.4
CNR2	NM_001841.2
CNTF	NM_000614.3
CNTN1	NM_001843.2
CNTN4	NM_175607.2
CNTNAP2	NM_014141.5
CNTROB	NM_053051.2
COBLL1	NM_014900.3
COCH	NM_004086.2
COG1	NM_018714.2
COG4	NM_015386.2
COG5	NM_006348.3
COG6	NM_020751.2
COG7	NM_153603.3
COG8	NM_032382.4
COL10A1	NM_000493.3
COL11A1	NM_001854.3
COL11A2	NM_080680.2
COL12A1	NM_004370.5
COL14A1	NM_021110.1
COL17A1	NM_000494.3
COL18A1	NM_130445.2
col18a1l	NM_030582.3
COL1A1	NM_000088.3
COL1A2	NM_000089.3
COL25A1	NM_198721.1
COL2A1	NM_001844.4
COL3A1	NM_000090.3
COL4A1	NM_001845.4
COL4A2	NM_001846.2
COL4A3	NM_000091.4
COL4A3BP	NM_001130105.1
COL4A4	NM_000092.4
COL4A5	NM_000495.3
COL5A1	NM_000093.3
COL5A2	NM_000393.3
COL6A1	NM_001848.2
COL6A2	NM_001849.3
COL6A3	NM_004369.3
COL6A5	NM_153264.5
COL7A1	NM_000094.3
COL8A2	NM_005202.2
COL9A1	NM_001851.4
COL9A2	NM_001852.3
COL9A3	NM_001853.3
COLCA2	NM_001136105.2
COLEC11	NM_024027.3
COLQ	NM_005677.3
COMMD1	NM_152516.2
COMP	NM_000095.2
COMT	NM_000754.3
COQ2	NM_015697.7
COQ5	NM_032314.3
COQ6	NM_182476.1
COQ9	NM_020312.3
CORIN	NM_006587.2
CORO1A	NM_007074.3
COX10	NM_001303.3
COX15	NM_004376.5
COX20	NM_198076.4
COX4I1	NM_001861.3
COX4I2	NM_032609.2
COX6B1	NM_001863.4
COX7A2	NM_001865.3
COX7B	NM_001866.2
CP	NM_000096.3
CPA4	NM_016352.3
CPA6	NM_020361.4
CPB2	NM_001872.3
CPE	NM_001873.2
CPLX2	NM_006650.3
CPN1	NM_001308.2
CPOX	NM_000097.5
CPS1	NM_001875.4
CPT1A	NM_001876.3
CPT1B	NM_004377.3
CPT2	NM_000098.2
CPXM2	NM_198148.2
CPZ	NM_003652.3
CR1	NM_000651.4
CR2	NM_001006658.2
CRADD	NM_003805.3
CRB1	NM_201253.2
crb1a	AF154671.1
CRBN	NM_016302.3
CREB1	NM_134442.3
CREB3L3	NM_032607.1
CREB3L4	NM_130898.3
CREBBP	NM_004380.2
CRELD1	NM_015513.4
creld1tv1	NM_001031717.3
CRELD2	NM_001135101.1
CRHR1	NM_004382.4
CRISP2	NM_003296.2
CRLF1	NM_004750.4
CRP	NM_000567.2
CRTAP	NM_006371.4
CRX	NM_000554.4
CRYAA	NM_000394.2
CRYAB	NM_001885.1
CRYBA1	NM_005208.4
CRYBA4	NM_001886.2
CRYBB1	NM_001887.3
CRYBB2	NM_000496.2
CRYBB3	NM_004076.3
CRYGB	NM_005210.3
CRYGC	NM_020989.3
CRYGD	NM_006891.3
CRYGS	NM_017541.2
CRYM	NM_001888.3
CSAG1	NM_153478.1
CSDE1	NM_001130523.2
CSF1	NM_000757.4
